epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,14493,0.87784,1.02758,0.30954,0.00169,0.12925,0.96983,0.97617,0.98265,0.86844,0.96324,0.96954,0.97767,0.69814,0.39561,0.53754,0.18781,0.00287,0,0.0014654,0.0014654,0.0014654
29,14933.9,0.88495,1.01851,0.31341,0.00169,0.14015,0.96367,0.98145,0.98237,0.87569,0.95798,0.9746,0.97913,0.73464,0.39883,0.51921,0.18255,0.00292,0,0.0014456,0.0014456,0.0014456
30,15320.6,0.87726,1.00947,0.31131,0.00169,0.13513,0.96703,0.97902,0.98332,0.86968,0.95776,0.96963,0.97064,0.69576,0.40519,0.52143,0.20252,0.00287,0,0.0014258,0.0014258,0.0014258
31,15759.1,0.84511,0.99606,0.30203,0.00166,0.13695,0.97137,0.97423,0.98312,0.89033,0.95824,0.9735,0.97087,0.71168,0.35906,0.51993,0.1491,0.00254,0,0.001406,0.001406,0.001406
32,16200.9,0.85667,0.98565,0.30015,0.00167,0.12996,0.96087,0.97626,0.9807,0.8868,0.95481,0.96841,0.97004,0.72867,0.33773,0.74548,0.19894,0.00213,0,0.0013862,0.0013862,0.0013862
33,16578.5,0.85698,0.99085,0.2975,0.00166,0.13706,0.9695,0.97902,0.983,0.88328,0.96427,0.96869,0.97132,0.68619,0.36958,0.52604,0.17938,0.00256,0,0.0013664,0.0013664,0.0013664
34,17048.7,0.85385,0.99231,0.30093,0.00164,0.13898,0.96854,0.97736,0.98391,0.89189,0.96143,0.97018,0.97282,0.71469,0.37554,0.49971,0.18068,0.00308,0,0.0013466,0.0013466,0.0013466
35,17490.9,0.86457,0.99903,0.29926,0.00165,0.13638,0.96723,0.97846,0.98408,0.89424,0.96286,0.97405,0.98291,0.716,0.35485,0.5323,0.17106,0.00264,0,0.0013268,0.0013268,0.0013268
36,17915.2,0.85427,0.97026,0.29718,0.00164,0.12777,0.9682,0.97522,0.98363,0.88116,0.9599,0.97239,0.97926,0.70082,0.36377,0.48645,0.15938,0.00241,0,0.001307,0.001307,0.001307
37,18439.5,0.8467,0.9619,0.29342,0.00161,0.12655,0.9757,0.97561,0.98279,0.89002,0.96639,0.96797,0.97824,0.71097,0.34798,0.48392,0.16589,0.00225,0,0.0012872,0.0012872,0.0012872
38,18878.4,0.8425,0.95753,0.29124,0.0016,0.12639,0.96947,0.97957,0.98308,0.89309,0.96057,0.96858,0.97065,0.71489,0.34207,0.7827,0.1479,0.00226,0,0.0012674,0.0012674,0.0012674
39,19264.3,0.842,0.96703,0.28711,0.00161,0.13069,0.9711,0.97902,0.98352,0.89565,0.96369,0.97129,0.97218,0.72134,0.33835,0.47631,0.153,0.00236,0,0.0012476,0.0012476,0.0012476
40,19656.4,0.83467,0.94843,0.28888,0.00161,0.12835,0.97042,0.97808,0.98471,0.89885,0.9622,0.96975,0.97245,0.71401,0.32198,0.49,0.15171,0.002,0,0.0012278,0.0012278,0.0012278
41,19979.3,0.82429,0.93155,0.28033,0.0016,0.12156,0.96897,0.98277,0.9827,0.89923,0.96352,0.97725,0.97132,0.71052,0.31943,0.46976,0.15038,0.00201,0,0.001208,0.001208,0.001208
42,20466.1,0.83334,0.94471,0.288,0.0016,0.137,0.97306,0.97717,0.98466,0.89751,0.96413,0.96853,0.97251,0.7,0.32821,0.48718,0.16164,0.00222,0,0.0011882,0.0011882,0.0011882
43,20948.9,0.83392,0.95028,0.28606,0.00159,0.12381,0.97063,0.98288,0.98474,0.90212,0.96428,0.97626,0.98053,0.71813,0.31875,0.49253,0.15116,0.00207,0,0.0011684,0.0011684,0.0011684
44,21323.8,0.84005,0.96318,0.2833,0.00161,0.13078,0.973,0.98288,0.98592,0.90121,0.96782,0.97681,0.98407,0.71733,0.32786,0.46674,0.16357,0.0022,0,0.0011486,0.0011486,0.0011486
45,21782.1,0.82582,0.93348,0.28397,0.00157,0.12794,0.97093,0.98123,0.9838,0.89705,0.96151,0.97184,0.97279,0.71841,0.32623,0.47928,0.15265,0.00208,0,0.0011288,0.0011288,0.0011288
46,22262.1,0.84433,0.96492,0.2875,0.0016,0.12645,0.96538,0.9862,0.98416,0.90289,0.95979,0.97529,0.98038,0.72335,0.31947,0.46865,0.15354,0.00209,0,0.001109,0.001109,0.001109
47,22588.3,0.8328,0.95378,0.35393,0.00159,0.13011,0.97478,0.98176,0.98485,0.90108,0.96765,0.97436,0.98168,0.72607,0.32356,0.46392,0.14059,0.00213,0,0.0010892,0.0010892,0.0010892
48,22979.5,0.82805,0.94066,0.28457,0.00159,0.12758,0.97672,0.97317,0.98505,0.90137,0.97007,0.96654,0.98245,0.71896,0.30781,0.45181,0.14232,0.00191,0,0.0010694,0.0010694,0.0010694
49,23401.4,0.81681,0.93264,0.28826,0.00156,0.12474,0.96794,0.97681,0.98513,0.90244,0.96225,0.97107,0.9836,0.71375,0.31631,0.47012,0.16532,0.00213,0,0.0010496,0.0010496,0.0010496
50,23855.5,0.82908,0.94914,0.28198,0.00156,0.12486,0.97156,0.98088,0.98388,0.90209,0.9637,0.96748,0.97273,0.71613,0.31309,0.78364,0.14729,0.00203,0,0.0010298,0.0010298,0.0010298
51,24340.6,0.82139,0.93562,0.2782,0.00156,0.12482,0.97311,0.97916,0.98504,0.9025,0.96072,0.97405,0.98071,0.71676,0.30023,0.47154,0.14791,0.0017,0,0.00101,0.00101,0.00101
52,24814.5,0.8215,0.9335,0.28316,0.00155,0.13002,0.9723,0.98288,0.98572,0.90527,0.96706,0.97276,0.98243,0.72423,0.31318,0.48225,0.13944,0.00194,0,0.0009902,0.0009902,0.0009902
53,25209.3,0.81759,0.93219,0.28073,0.00154,0.12923,0.97509,0.98454,0.98519,0.89739,0.96515,0.9746,0.98049,0.71562,0.33253,0.48681,0.14824,0.00215,0,0.0009704,0.0009704,0.0009704
54,25622.5,0.81244,0.92583,0.27671,0.00153,0.12516,0.97321,0.98178,0.98508,0.90571,0.96219,0.97184,0.97256,0.72034,0.30584,0.49255,0.13308,0.0019,0,0.0009506,0.0009506,0.0009506
